"","x"
"1","LPCXX(15:0)_[M+OAC]1-"
"2","LPCXX(17:0)_[M+OAC]1-"
"3","LPCXX(17:1)_[M+OAC]1-"
"4","LPCXX(18:0)_[M+Cl]1-"
"5","LPCXX(18:1)_[M+Cl]1-"
"6","LPCXX(18:2)_[M+Cl]1-"
"7","LPCXX(20:1)_[M+Cl]1-"
"8","LPCXX(24:0)_[M+OAC]1-"
"9","LPC-O(19:1)_[M+Cl]1-"
"10","LPEXX(13:0)_[M-H]1-"
"11","LPEXX(16:0)_[M-H]1-"
"12","LPEXX(18:0)_[M-H]1-"
"13","LPEXX(18:1)_[M-H]1-"
"14","LPEXX(20:0)_[M-H]1-"
"15","LPEXX(20:1)_[M-H]1-"
"16","LPEXX(22:6)_[M-H]1-"
"17","PAXXX(34:0)_[M-H]1-"
"18","PAXXX(36:0)_[M-H]1-"
"19","PCXXX(32:3)_[M+OAC]1- "
"20","PCXXX(33:1)_[M+OAC]1- "
"21","PCXXX(38:9)_[M+OAC]1- "
"22","PC-OX(34:5)_[M+OAC]1-"
"23","PEXXX(36:2)_[M-H]1-"
"24","PEXXX(36:4)_[M-H]1-"
"25","PEXXX(38:4)_[M-H]1-"
"26","PEXXX(38:5)_[M-H]1-"
